ra,dec,pmra,pmdec,l,b,psfmag_u,psfmagerr_u,psfmag_g,psfmagerr_g,psfmag_r,psfmagerr_r,psfmag_i,psfmagerr_i,psfmag_z,psfmagerr_z,hrv,hrv_e,logg,logg_e,teff,teff_e,feh,feh_e,GalR,Galphi,Galz,Galdist,GalRecX,GalRecY,GalRecZ,GalU,GalV,GalW,GalRVel,GalTVel,GalzVel,GalTotalVel,group_id
181.4805707,40.5570014982,-17.3834550762,-44.2150232948,155.022431266,73.6110566683,18.25257,0.01769232,17.46655,0.01910563,17.13489,0.01374464,17.00116,0.01847595,16.94586,0.01870475,-207.1598,4.301734,4.226447,0.1682533,6022.222,41.2796,-2.226955,0.0723381,8.91913480891,0.0309138717686,2.24766338417,9.19798654207,8.91487328482,0.275681074968,2.24766338417,-98.6713195142,-287.079745162,-116.088212308,-107.49750773,-283.892753005,-116.088212308,325.003511386,S1
188.573795221,14.5872296719,-40.335024641,-35.0726233317,284.412819883,76.8385841182,19.28714,0.05003756,18.2244,0.02614285,17.77354,0.0270698,17.54561,0.03018448,17.44604,0.03539424,72.34814,3.711301,4.01034,0.1312834,5638.568,31.54158,-1.646153,0.0297165,8.21168319945,6.22332294679,2.19479960422,8.49993448627,8.19697430032,-0.491277200905,2.19479960422,160.186430138,-289.633641176,-28.7086224058,177.227301672,-279.531433015,-28.7086224058,332.222099659,S1
211.635144836,53.1749880449,-13.1238829558,-14.7541927426,99.8940110259,60.4644489327,18.8681,0.02424559,17.97738,0.01867493,17.74006,0.01337169,17.65764,0.01375855,17.65672,0.03022884,-345.5231,7.323743,3.852677,0.3878312,6482.005,43.57688,-2.024639,0.06395388,9.04397780485,0.264576450447,4.26437028797,9.99891936599,8.72927763717,2.36500453863,4.26437028797,-58.462320474,-312.450516984,-68.0341892152,-138.13398755,-286.290359534,-68.0341892152,325.072021836,S1
224.671636474,40.4038783534,-22.1071451061,-14.4451188515,68.0013025725,60.629914633,19.30104,0.02786358,18.35611,0.02337157,18.00477,0.01535702,17.86404,0.02087316,17.82264,0.02111639,-339.8853,4.11035,4.154788,0.1293207,6007.363,45.24452,-1.401495,0.03578295,7.81437971083,0.223423749447,3.34193144705,8.4990020627,7.62014992324,1.73142871997,3.34193144705,79.0902917222,-322.035633122,-62.1465518871,5.77117289214,-331.555299774,-62.1465518871,337.378744376,S1
203.670819063,66.7425502538,-26.8355164467,-26.7389347746,116.338777353,49.8284490399,19.06802,0.02595209,18.03152,0.01706986,17.57801,0.01946548,17.39451,0.01738655,17.30929,0.01989922,-411.4068,9.227021,3.592034,0.3785702,5584.53,7.494807,-2.066144,0.1627,8.95093614733,0.125588631856,1.50964701047,9.07735049504,8.88043953934,1.12118308126,1.50964701047,-72.562554156,-269.474289248,-110.896943142,-105.745072176,-258.262843905,-110.896943142,300.29959845,S1
185.637699195,39.4757383908,-20.4663553091,-24.2040019586,147.060733117,76.268528318,20.09758,0.03896867,19.08105,0.01545965,18.65625,0.01345449,18.45598,0.01642462,18.371,0.0275657,72.65457,5.043173,4.640723,0.178819,5652.291,47.11104,-1.700593,0.05737563,9.04160492286,0.0509487191023,3.49372849278,9.69312944112,9.02987248874,0.460458921377,3.49372849278,114.079127682,-261.045539538,127.234065654,100.636915326,-266.516476713,127.234065654,312.005334167,S1
27.8813361118,14.2159909598,16.362733192,-7.7676108539,144.200288351,-46.1596074524,20.52109,0.05150883,19.64401,0.02761842,19.2275,0.02092074,19.055,0.02749911,18.9314,0.05220079,-22.2243,9.302171,4.182233,0.5682628,6066.021,107.5171,-1.697093,0.041,11.6414684624,0.192279520902,-3.9246170689,12.2852109098,11.4269298929,2.22464855256,-3.9246170689,223.713458389,-157.715232932,-7.74435036582,189.451790174,-197.559675447,-7.74435036582,273.828013771,S1
202.360517733,38.3896280566,-23.2281619923,-34.5751254924,90.0577441342,76.2104042901,18.22107,0.01608032,17.37944,0.02356073,17.08684,0.02480527,16.9805,0.02681423,16.96048,0.01948171,-281.6951,3.405309,4.208018,0.1620898,6274.868,49.42048,-2.045068,0.06096635,8.34815077432,0.0786935740951,2.69993105246,8.77389588717,8.32231540362,0.656267989042,2.69993105246,-49.1346299286,-341.501437302,-135.156726109,-75.82881121,-336.581988419,-135.156726109,370.54660186,S1
169.44603461,67.6853792717,-5.1426156779,-11.9502504183,135.724850701,47.048778256,19.98899,0.04613214,19.1691,0.02515083,18.8741,0.01880256,18.75119,0.0221387,18.69319,0.04433698,-356.1053,5.64477,3.659302,0.5874478,6375.108,45.27997,-1.902044,0.1134769,11.7432515059,0.255663224555,4.60510265387,12.6139179633,11.3615463639,2.96971718393,4.60510265387,-81.0540085646,-255.874484141,-99.408330408,-143.126776082,-227.059969847,-99.408330408,286.222850404,S1
263.876627282,44.3922001393,-17.2675485537,-2.8152162183,70.3319429409,31.7260322219,20.40556,0.04743674,19.04006,0.01408304,18.43783,0.01110618,18.18074,0.01166538,18.00364,0.02178186,-560.4678,3.32216,4.314374,0.01791185,5065.828,56.6538,-1.66463,0.05500185,7.8949384336,0.225884095848,1.18493273221,7.98336510816,7.69437919713,1.76821425203,1.18493273221,130.075707204,-301.757958257,-136.540950088,59.1871737876,-323.225050755,-136.540950088,355.838426856,S1
124.478591711,47.5598526894,0.9944598115,-8.4572825318,172.031941819,33.9026265354,20.6693,0.05377217,19.64348,0.02081163,19.34779,0.01597105,19.2029,0.02193819,19.12265,0.04612924,-185.3146,10.08189,4.126658,0.7498424,6345.125,71.44497,-1.359468,0.0449,16.2615124372,0.0681435987123,5.41869560681,17.1405673425,16.2237714715,1.10726057685,5.41869560681,-115.93011789,-154.723929385,-82.2176121874,-126.196345792,-146.471051294,-82.2176121874,210.092889723,S1
240.801454614,44.8575288252,-17.4118543123,-6.5732436622,70.9337687533,48.0940230559,20.22416,0.05265548,19.24447,0.02021796,18.85887,0.01694793,18.67642,0.02221529,18.63935,0.03410341,-436.8678,5.242813,4.418411,0.3319748,5780.105,76.63509,-1.268166,0.07487011,7.8802242906,0.400118392033,3.64156388354,8.68095169829,7.25780385711,3.06956316793,3.64156388354,101.333151808,-348.28290511,-35.5387014441,-42.3363885588,-360.245777007,-35.5387014441,364.461779818,S1
165.033056467,28.7579671282,-11.4609254804,-54.8396977016,202.591788968,65.4192252384,20.46156,0.0498233,19.09645,0.02298978,18.47604,0.02023776,18.20074,0.02275288,18.0735,0.02676722,-76.34205,4.501832,4.499027,0.2168434,5108.313,52.81992,-2.041804,0.04118343,9.09732621754,6.24807909102,1.84544295766,9.2826183816,9.09172080974,-0.319307103128,1.84544295766,-122.589161902,-256.563986003,-116.522890883,-113.508486613,-260.708659228,-116.522890883,307.295892633,S1
204.921744771,67.1813477424,-19.566444965,-21.9106215465,115.796585682,49.2730800806,19.6046,0.03785367,18.61334,0.01815276,18.14396,0.01430229,17.93329,0.0113999,17.85299,0.02362219,-421.7244,3.994649,4.467816,0.01641853,5500.355,35.37511,-2.159151,0.08640912,9.06929106697,0.147845038393,1.75149522994,9.23687046558,8.97035249534,1.33597027167,1.75149522994,-102.008573453,-249.737084483,-123.623332996,-137.683769636,-231.986077175,-123.623332996,296.744147179,S1
