,group_id,ra,dec,pmra_new,pmdec_new,phot_g_mean_mag,l,b,objid,psfmag_u,psfmagerr_u,psfmag_g,psfmagerr_g,psfmag_r,psfmagerr_r,psfmag_i,psfmagerr_i,psfmag_z,psfmagerr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,hrv,hrv_e,logg,logg_e,teff,teff_e,feh,feh_e,helio_dist,X,Y,Z,GalR,Galphi,Galz,Galdist,GalRecX,GalRecY,GalRecZ,pml,pmb,U,V,W,GalU,GalV,GalW,GalRVel,GalTVel,GalzVel
20,S1,181.48057070,40.55700150,-17.38345508,-44.21502329,17.05939869,155.02243127,73.61105667,1237662225676960000.00000000,18.25257000,0.01769232,17.46655000,0.01910563,17.13489000,0.01374464,17.00116000,0.01847595,16.94586000,0.01870475,0.08709025,0.06408018,0.04647629,0.03524156,0.02498671,-207.15980000,4.30173400,4.22644700,0.16825330,6022.22200000,41.27960000,-2.22695500,0.07233810,2313.84204451,-0.59180477,0.27568107,2.21982704,8.91913481,0.03091387,2.24766338,9.19798654,8.91487328,0.27568107,2.24766338,41.12301690,23.79181112,89.46225151,-539.27974516,-125.10958917,-98.67131951,-287.07974516,-116.08821231,-107.49750773,-283.89275300,-116.08821231
21,S1,188.57379522,14.58722967,-40.33502464,-35.07262333,17.72107697,284.41281988,76.83858412,1237661069264749824.00000000,19.28714000,0.05003756,18.22440000,0.02614285,17.77354000,0.02706980,17.54561000,0.03018448,17.44604000,0.03539424,0.19295500,0.14197440,0.10297170,0.07808032,0.05535992,72.34814000,3.71130100,4.01034000,0.13128340,5638.56800000,31.54158000,-1.64615300,0.02971650,2227.72099873,0.12625572,-0.49127720,2.16920424,8.21168320,6.22332295,2.19479960,8.49993449,8.19697430,-0.49127720,2.19479960,-28.33148665,-45.32471715,-169.66696932,-541.83364118,-38.53838032,160.18643014,-289.63364118,-28.70862241,177.22730167,-279.53143302,-28.70862241
22,S1,211.63514484,53.17498804,-13.12388296,-14.75419274,17.69101540,99.89401103,60.46444893,1237661416064880128.00000000,18.86810000,0.02424559,17.97738000,0.01867493,17.74006000,0.01337169,17.65764000,0.01375855,17.65672000,0.03022884,0.04353712,0.03203420,0.02323387,0.01761754,0.01249106,-345.52310000,7.32374300,3.85267700,0.38783120,6482.00500000,43.57688000,-2.02463900,0.06395388,4869.95398307,-0.41250463,2.36500454,4.23710340,9.04397780,0.26457645,4.26437029,9.99891937,8.72927764,2.36500454,4.26437029,2.10728691,19.63369169,49.10346051,-564.65051698,-77.18130181,-58.46232047,-312.45051698,-68.03418922,-138.13398755,-286.29035953,-68.03418922
23,S1,224.67163647,40.40387835,-22.10714511,-14.44511885,17.91679442,68.00130257,60.62991463,1237661434857979648.00000000,19.30104000,0.02786358,18.35611000,0.02337157,18.00477000,0.01535702,17.86404000,0.02087316,17.82264000,0.02111639,0.08124097,0.05977632,0.04335478,0.03287461,0.02330851,-339.88530000,4.11035000,4.15478800,0.12932070,6007.36300000,45.24452000,-1.40149500,0.03578295,3807.51019767,0.69949682,1.73142872,3.31813090,7.81437971,0.22342375,3.34193145,8.49900206,7.62014992,1.73142872,3.34193145,-7.37280150,25.35801888,-88.46685835,-574.23563312,-71.72302696,79.09029172,-322.03563312,-62.14655189,5.77117289,-331.55529977,-62.14655189
24,S1,203.67081906,66.74255025,-26.83551645,-26.73893477,17.52359985,116.33877735,49.82844904,1237651539252280064.00000000,19.06802000,0.02595209,18.03152000,0.01706986,17.57801000,0.01946548,17.39451000,0.01738655,17.30929000,0.01989922,0.08253908,0.06073147,0.04404752,0.03339991,0.02368095,-411.40680000,9.22702100,3.59203400,0.37857020,5584.53000000,7.49480700,-2.06614400,0.16270000,1939.39259560,-0.55506767,1.12118308,1.48192173,8.95093615,0.12558863,1.50964701,9.07735049,8.88043954,1.12118308,1.50964701,19.00154182,32.77280861,63.33741016,-521.67428925,-119.99983683,-72.56255416,-269.47428925,-110.89694314,-105.74507218,-258.26284391,-110.89694314
25,S1,185.63769920,39.47573839,-20.46635531,-24.20400196,18.58299064,147.06073312,76.26852832,1237664667908960256.00000000,20.09758000,0.03896867,19.08105000,0.01545965,18.65625000,0.01345449,18.45598000,0.01642462,18.37100000,0.02756570,0.12143740,0.08935247,0.06480587,0.04914033,0.03484111,72.65457000,5.04317300,4.64072300,0.17881900,5652.29100000,47.11104000,-1.70059300,0.05737563,3567.48998855,-0.71069267,0.46045892,3.46552714,9.04160492,0.05094872,3.49372849,9.69312944,9.02987249,0.46045892,3.49372849,29.45853268,11.70043858,-124.04662497,-513.24553954,117.54745978,114.07912768,-261.04553954,127.23406565,100.63691533,-266.51647671,127.23406565
26,S1,27.88133611,14.21599096,16.36273319,-7.76761085,19.16795496,144.20028835,-46.15960745,1237649954407059968.00000000,20.52109000,0.05150883,19.64401000,0.02761842,19.22750000,0.02092074,19.05500000,0.02749911,18.93140000,0.05220079,0.29397720,0.21630560,0.15688290,0.11895950,0.08434378,-22.22430000,9.30217100,4.18223300,0.56826280,6066.02100000,107.51710000,-1.69709300,0.04100000,5490.66582202,-3.08458401,2.22464855,-3.96026407,11.64146846,0.19227952,-3.92461707,12.28521091,11.42692989,2.22464855,-3.92461707,18.01553399,-1.87492692,-233.25912251,-409.91523293,-17.77249308,223.71345839,-157.71523293,-7.74435037,189.45179017,-197.55967545,-7.74435037
27,S1,202.36051773,38.38962806,-23.22816199,-34.57512549,17.03051253,90.05774413,76.21040429,1237662224610299904.00000000,18.22107000,0.01608032,17.37944000,0.02356073,17.08684000,0.02480527,16.98050000,0.02681423,16.96048000,0.01948171,0.04647137,0.03419319,0.02479975,0.01880490,0.01333291,-281.69510000,3.40530900,4.20801800,0.16208980,6274.86800000,49.42048000,-2.04506800,0.06096635,2753.29874873,-0.00066140,0.65626799,2.67394201,8.34815077,0.07869357,2.69993105,8.77389589,8.32231540,0.65626799,2.69993105,-3.01771099,41.54371472,39.98532050,-593.70143730,-144.33262565,-49.13462993,-341.50143730,-135.15672611,-75.82881121,-336.58198842,-135.15672611
28,S1,169.44603461,67.68537927,-5.14261568,-11.95025042,18.78324119,135.72485070,47.04877826,1237651274045459968.00000000,19.98899000,0.04613214,19.16910000,0.02515083,18.87410000,0.01880256,18.75119000,0.02213870,18.69319000,0.04433698,0.08343907,0.06139367,0.04452781,0.03376409,0.02393916,-356.10530000,5.64477000,3.65930200,0.58744780,6375.10800000,45.27997000,-1.90204400,0.11347690,6243.21028187,-3.04582404,2.96971718,4.56961819,11.74325151,0.25566322,4.60510265,12.61391796,11.36154636,2.96971718,4.60510265,10.59814549,7.54548165,71.79296457,-508.07448414,-108.48477625,-81.05400856,-255.87448414,-99.40833041,-143.12677608,-227.05996985,-99.40833041
29,S1,263.87662728,44.39220014,-17.26754855,-2.81521622,18.32479912,70.33194294,31.72603222,1237668727700320256.00000000,20.40556000,0.04743674,19.04006000,0.01408304,18.43783000,0.01110618,18.18074000,0.01166538,18.00364000,0.02178186,0.10175050,0.07486707,0.05429984,0.04117392,0.02919283,-560.46780000,3.32216000,4.31437400,0.01791185,5065.82800000,56.65380000,-1.66463000,0.05500185,2207.65045329,0.63200041,1.76821425,1.16091101,7.89493843,0.22588410,1.18493273,7.98336511,7.69437920,1.76821425,1.18493273,-5.28874479,16.67701574,-139.21982321,-553.95795826,-146.27620016,130.07570720,-301.75795826,-136.54095009,59.18717379,-323.22505075,-136.54095009
30,S1,124.47859171,47.55985269,0.99445981,-8.45728253,19.33027548,172.03194182,33.90262654,1237651191892209664.00000000,20.66930000,0.05377217,19.64348000,0.02081163,19.34779000,0.01597105,19.20290000,0.02193819,19.12265000,0.04612924,0.28081320,0.20661970,0.14985780,0.11363270,0.08056697,-185.31460000,10.08189000,4.12665800,0.74984240,6345.12500000,71.44497000,-1.35946800,0.04490000,9623.86720281,-7.91056488,1.10726058,5.36803104,16.26151244,0.06814360,5.41869561,17.14056734,16.22377147,1.10726058,5.41869561,8.50947165,0.32166802,106.61524777,-406.92392939,-91.18528530,-115.93011789,-154.72392938,-82.21761219,-126.19634579,-146.47105129,-82.21761219
31,S1,240.80145461,44.85752883,-17.41185431,-6.57324366,18.78672127,70.93376875,48.09402306,1237659330849080064.00000000,20.22416000,0.05265548,19.24447000,0.02021796,18.85887000,0.01694793,18.67642000,0.02221529,18.63935000,0.03410341,0.07694127,0.05661266,0.04106022,0.03113472,0.02207491,-436.86780000,5.24281300,4.41841100,0.33197480,5780.10500000,76.63509000,-1.26816600,0.07487011,4862.52247364,1.06090590,3.06956317,3.61889285,7.88022429,0.40011839,3.64156388,8.68095170,7.25780386,3.06956317,3.64156388,-3.96689785,18.18361692,-110.79265940,-600.48290511,-45.18473128,101.33315181,-348.28290511,-35.53870144,-42.33638856,-360.24577701,-35.53870144
32,S1,165.03305647,28.75796713,-11.46092548,-54.83969770,18.35889703,202.59178897,65.41922524,1237667254545090048.00000000,20.46156000,0.04982330,19.09645000,0.02298978,18.47604000,0.02023776,18.20074000,0.02275288,18.07350000,0.02676722,0.13043450,0.09597243,0.06960721,0.05278105,0.03742242,-76.34205000,4.50183200,4.49902700,0.21684340,5108.31300000,52.81992000,-2.04180400,0.04118343,1998.13620514,-0.76739601,-0.31930710,1.81705659,9.09732622,6.24807909,1.84544296,9.28261838,9.09172081,-0.31930710,1.84544296,54.18869974,-14.22427775,113.38133412,-508.76398600,-125.46961246,-122.58916190,-256.56398600,-116.52289088,-113.50848661,-260.70865923,-116.52289088
