group_id,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,l,b,hrv,hrv_e,logg,logg_e,teff,teff_e,feh,feh_e,helio_dist,Galdist,GalRecX,GalRecY,GalRecZ,GalU,GalV,GalW,GalRVel,GalTVel,GalzVel,GalSphrVel,GalSphphiVel,GalSphithetaVel
S1,1507691305111595648,213.7240062044401,0.10739221874981733,47.54544933018829,0.10614448286307496,0.2612325761126607,0.14502226811858338,-14.21919200892212,0.1906079135270518,-16.471954261168605,0.1981725810540591,18.399867999999998,18.674534,17.934568,0.73996544,89.84963060014833,63.86822472574436,-313.6504,6.85497,4.013291000000001,0.2090176,6113.916,57.49714,-2.077373,0.04427347,4280.866265199999,9.269048530461239,8.195820309029944,1.8937077109353542,3.8871088730196997,-49.785434671088055,-290.0772557876786,-79.75245903902248,-113.34401351960317,-271.9636027335421,-79.75245903902248,-136.21037790218065,-271.9636027335421,25.079138445882165
S1,1659763693196474624,214.15566734228747,0.06129882303079049,58.87510162999035,0.05613211492715505,0.6271082897236241,0.06467978143950051,-28.906148948330397,0.11929834134374045,-32.626980089340265,0.10975480314607583,17.076591,17.392225,16.573503,0.8187218,103.83574631349155,54.9815712725942,-402.9581,3.888258,3.9817099999999996,0.07616713,5734.67,22.448610000000002,-2.182033,0.01479483,1784.09919506,8.655025018605642,8.462493798924996,0.9597267385910926,1.4383973400794536,-91.30690439807086,-269.6880591862556,-120.15206650645408,-120.89789977627018,-257.6311939188329,-120.15206650645408,-139.3314246833164,-257.6311939188329,98.05921805979858
S1,1424586776013946112,243.55196423388276,0.2028655266682025,51.097723715149456,0.24494140118809654,-0.13993466320679365,0.2474210816489205,-21.655792095947863,0.42947715823657256,-5.340913949951247,0.5710708389399979,18.836596,19.174826,18.304083,0.8707428,79.38476150270944,45.14651892133236,-496.1145,8.300347,4.228171,0.47873540000000003,5741.78,119.9931,-2.1052169999999997,0.0498,4010.77591947,8.689751691956802,7.678052053140796,2.8388384535216993,2.92831919418375,99.03869047752966,-400.6667193488332,-39.051720153365245,-48.67327797134565,-410.01061934994436,-39.051720153365245,-60.3619587820068,-410.01061934994436,20.94649681699514
S1,3917964966657499648,173.84411857870938,0.17265172059425893,13.443513500281242,0.1723786584838559,0.1945470794457143,0.22499307308566274,-18.411743773814454,0.3697528359021974,-39.474865886432035,0.3559269930134373,18.128082,18.437092,17.601898000000002,0.83519363,246.7614501769081,67.57465278409511,106.2336,4.591836,4.092035,0.10820039999999999,5755.903,30.28185,-1.863657,0.03854522,2972.54075734,9.154441368292552,8.638208911005488,-1.0859838121582046,2.89233924955621,-24.64002423338565,-389.95536554791903,-113.28322611112478,21.3127194829978,-389.80717529726417,-113.28322611112478,-14.88661498241127,-389.80717529726417,114.06958735494945
S1,3734655586370214784,193.14073344705287,0.2905984515537189,8.942135751706983,0.20248005008856265,0.6734864453509032,0.34388316048542283,-27.152626694835945,0.815406113259117,-24.634639623313273,0.4470403323760509,19.351467,19.73258,18.679085,1.0534954,303.82205853699014,71.81194131928221,104.7366,5.493833,3.877124,0.6062673000000001,5294.791,39.56374,-2.149147,0.046724800000000004,3290.97285475,8.301174009372328,7.630500544242675,-0.8559404718389776,3.1609455642413717,127.40224372852646,-317.0843293256028,-9.301918558665161,160.5332819568645,-301.517797336523,-9.301918558665161,146.120841891902,-301.517797336523,71.45210350122736
S1,1536866841857992320,181.48049345434487,0.06747091486482433,40.55685190681279,0.0654078586369199,0.3781984014994345,0.09472544291153852,-16.228172629883414,0.101069771454991,-43.28664750542099,0.1398627789947807,17.139366,17.396765,16.66491,0.7318554,155.02292077445992,73.61113680946686,-207.1598,4.301734,4.226447,0.1682533,6022.222,41.2796,-2.226955,0.0723381,2313.84204451,9.081662677661363,8.781667770487665,0.28040131671984525,2.286880689359564,-107.9254605810593,-289.58007129840075,-116.52988674774369,-117.08212756690287,-286.0138849181976,-116.52988674774369,-142.6337561805641,-286.0138849181976,84.42045704840345
S1,3932583076827796096,188.57365158183583,0.13828565783155086,14.58710821163031,0.09695171243866042,0.4425934383215645,0.16140383855905302,-39.5504676302918,0.40341094447512893,-37.32911827316493,0.19469578338598625,17.816710999999998,18.132877,17.236292000000002,0.89658546,284.41239655241407,76.83842881159724,72.34814,3.711301,4.01034,0.1312834,5638.568,31.54158,-1.646153,0.029716500000000003,2227.72099873,8.418874236113936,8.058171149749462,-0.5054340509458015,2.258225962934451,145.11438631485785,-327.42823876837525,-37.586930209282954,165.72433131895593,-317.8646689326885,-37.586930209282954,149.9422433983882,-317.8646689326885,79.34666531313256
S1,1512905189249855488,211.63506945276714,0.08055686918636698,53.174937742839155,0.098246834781687,0.3121300926779151,0.11447742946619155,-15.899707907057152,0.14644956028491993,-13.080069572348116,0.19390040286384475,17.75269,17.984154,17.356398000000002,0.6277560999999999,99.89402737842035,60.46451461878665,-345.5231,7.3237429999999994,3.8526769999999995,0.3878312,6482.005,43.576879999999996,-2.024639,0.06395388,4869.95398307,9.870282908537796,8.607331921693227,2.3568637394939946,4.25087425400015,12.250217102520665,-334.59049185336335,-66.9429067487377,-75.78342805445546,-326.88578323948377,-66.9429067487377,-97.61544387050179,-326.88578323948377,28.25076815406907
S1,1296820363769988864,224.67153721622643,0.08115217815404682,40.40382897287144,0.08886419712840585,0.29013429310456473,0.11830543947401374,-22.303869323612112,0.1697948969784047,-14.355469181200395,0.187842857627167,17.99811,18.26785,17.530838,0.73701286,68.00125379287483,60.62999977254835,-339.8853,4.11035,4.154788,0.12932069999999998,6007.363,45.24452,-1.4014950000000002,0.03578295,3807.51019767,8.415801930241502,7.475414220076605,1.76528997369625,3.4076837057348106,81.43732067312405,-339.74142891311396,-58.272495635174984,1.4682068690066843,-349.4037651287517,-58.272495635174984,-21.64592028817507,-349.4037651287517,54.36312450890016
S1,1672356670451552640,203.6705336662536,0.08387451012130315,66.74243756942579,0.06541020350033355,0.5187627008244168,0.08479997011861251,-23.85243030201548,0.1588549684922586,-26.399877346719,0.12384564304526614,17.604538,17.965338,17.029926,0.93541145,116.3389017719054,49.828585752760276,-411.4068,9.227021,3.5920339999999995,0.3785702,5584.53,7.494807000000001,-2.066144,0.1627,1939.3925956,8.944253327930824,8.745505343519376,1.1509915099253996,1.5502012876897155,-92.28761124622993,-266.58237132129875,-115.46494708119394,-127.19895186337715,-252.1974478859392,-115.46494708119394,-144.50313416723642,-252.1974478859392,91.36320159210942
S1,1533018310642496000,185.63761479320823,0.192767163332196,39.47566202862353,0.1343803278142464,0.1338946488817272,0.2245539963885664,-24.7536115757486,0.3775998926604372,-23.368289153277807,0.2719425802252538,18.683708,18.904757,18.102014999999998,0.802742,147.06112280300584,76.2685643201378,72.65456999999999,5.043173,4.640723,0.178819,5652.291,47.11104,-1.700593,0.05737563,3567.48998855,9.556157593832655,8.90171501721508,0.4547995787865561,3.4523052918064026,178.52879007541947,-286.85794949128694,115.26779053838293,163.53680974515328,-295.37509222465246,115.26779053838293,193.77111012671293,-295.37509222465246,-46.760241485157636
S1,1475481696090722944,202.36041768252684,0.04681364219923479,38.389510849049465,0.04239987353692135,0.2437571552449769,0.07551833929717451,-21.889403373976265,0.07827276435245639,-36.15393250868928,0.07377969593137126,17.09977,17.346113,16.667233,0.6788807,90.05770107186973,76.21054334776727,-281.6951,3.4053089999999995,4.208018,0.16208979999999998,6274.868,49.42048,-2.045068,0.06096635,2753.29874873,8.674384041497294,8.211841041241032,0.6575833188589607,2.706334238022442,-78.12872067338316,-356.52764360112303,-134.47965088188596,-106.22896624180319,-349.35263043447,-134.47965088188596,-142.81462656672844,-349.35263043447,94.90429623338967
S1,1348751088225491968,263.8765595448697,0.12459477975770447,44.392192204848186,0.14007925035325058,0.18810128015224306,0.14240499961319472,-18.468236675102702,0.2895912334501764,-1.709047613073584,0.2960405120821987,18.477331,18.945091,17.83474,1.1103516000000002,70.33192762032334,31.726077392889717,-560.4678,3.32216,4.314374,0.01791185,5065.8279999999995,56.6538,-1.6646299999999998,0.05500185,2207.65045329,7.867753111527273,7.595182035850343,1.7463340116978592,1.1714912587470492,140.4551090153914,-310.8554210879872,-130.48871253874796,66.63081719957106,-333.34553352347916,-130.48871253874796,46.615553949781955,-333.34553352347916,138.99168447972173
