group_id,x,y,z,dx,dy,dz,vx,vy,vz,sigx,sigy,sigz,feh,dfeh,population,Psun
Rg7b,8.86158327,-0.04996795,5.07619857,1.85918789,1.25887658,1.97307793,-288.74653232,-158.13483051,-105.47447765,78.74573720,65.77762099,111.81883902,-1.47757467,0.29208220,9.00000000,1.79898609
Cand8a,8.47415295,0.33645693,1.37324164,1.46551017,2.41983753,3.71616544,25.49144627,205.45755145,193.15707713,124.43901060,37.22956391,57.82054623,-1.81488253,0.32591919,19.00000000,0.09006145
Cand8b,9.86045262,0.05955331,2.29602568,2.15481500,2.41723860,4.43188736,-2.68416400,183.48796300,-163.18594389,122.39575306,39.62235745,74.39838098,-1.72493090,0.30651118,30.00000000,0.33668845
Cand9,9.19595435,-0.19830693,1.68082578,1.10561868,1.36261594,3.37352444,50.07310552,164.86690380,-181.80592039,140.81374011,24.39611370,158.95033885,-1.81856674,0.20985068,43.00000000,0.48088749
Cand10a,8.81692931,-0.36284192,2.74771312,1.84810226,1.36943925,2.40772925,-252.26636075,19.11343818,192.42243854,54.98624500,18.34252554,126.60676234,-2.02157823,0.18797608,25.00000000,0.37612861
Cand10b,8.06930993,0.67644463,0.51589325,1.03078654,0.84674306,2.10789475,144.78623455,13.73236710,120.46700284,103.39021649,19.06477190,287.04943599,-1.99015901,0.19419808,13.00000000,0.32752774
Cand11a,9.12905723,-0.34877561,2.72285478,2.46356362,1.41956503,3.82555182,62.86116594,111.16029219,-249.80769486,123.92223961,34.97225846,103.46224964,-2.06456779,0.34355435,14.00000000,0.27887994
Cand11b,9.04837690,-0.05254514,2.41086146,1.94196482,1.07175931,2.83001971,-171.47704107,79.84800499,218.65095301,130.34070982,32.34065365,54.03725329,-2.00609126,0.28450405,23.00000000,0.47624395
Cand12,9.56468634,-0.80626995,3.69949318,1.96208729,2.44831342,4.17086347,-33.27733204,94.41283077,60.91014055,175.45092868,26.82467485,197.48381213,-1.57287033,0.23790576,36.00000000,0.58589615
Cand13,9.13744962,1.00040602,3.11252166,2.47850036,1.99854076,4.14019279,-101.35227808,-9.29540180,98.42717845,246.43261375,30.35353464,238.10156886,-1.37031363,0.18028260,36.00000000,0.38607287
Cand14a,11.85591784,0.16322406,1.78587124,1.82458404,1.67390283,3.64042291,-167.98452601,166.65673335,-25.14159348,29.10607592,27.93226564,82.67349987,-1.44317521,0.23435781,24.00000000,1.24748860
Cand14b,10.66976835,0.32684153,1.37391522,1.79903586,2.05342546,3.51116871,181.03503103,178.23568455,27.80141350,19.54152654,23.10585838,93.98952990,-1.46115242,0.09564592,12.00000000,0.69290779
Cand15a,10.34290648,-0.32853945,2.36450921,1.84490457,2.26901342,5.86127811,295.84932222,188.08788669,31.03679261,32.42703716,18.67789738,117.78732873,-1.43498271,0.06055892,7.00000000,0.53184303
Cand15b,10.50166590,1.39104067,4.00730338,1.85595570,2.11030416,3.92216662,-289.17951358,185.46805761,-64.35420561,52.42855263,41.23314110,122.33764737,-1.52608633,0.10682630,12.00000000,1.17955499
Cand16a,8.88266284,2.75493881,-1.33477992,1.34520896,2.06528011,3.19944930,-320.32958315,109.94577317,21.84949704,40.52823023,26.54126821,114.79154083,-1.41539540,0.08399168,5.00000000,0.89010578
