group_id,x,y,z,dx,dy,dz,vx,vy,vz,sigx,sigy,sigz,feh,dfeh,population,Psun
Cand8,9.32290727,0.16692422,1.93821108,2.03268905,2.42200741,4.19314804,8.24108440,192.00679219,-25.01197059,123.95462148,40.16480132,186.62925970,-1.75981014,0.31722134,49.00000000,0.18126284
Cand9a,9.11914485,-0.30140983,1.07506867,0.89283618,1.36396062,2.89130743,68.33883076,165.61921257,-242.79368993,136.07431299,20.41268365,39.50331193,-1.80440797,0.19641670,37.00000000,0.40322635
Cand9b,9.12067125,1.15370609,5.23037195,2.20906724,2.06086647,3.46849005,-56.81772319,158.86195070,207.60851302,107.20077627,37.99156675,84.37236323,-1.88179557,0.24996162,7.00000000,0.40322635
Cand10,8.70199889,0.01757712,1.78770422,1.85014012,1.30386245,2.78190086,-115.61665360,17.40287755,169.30604010,200.29386064,18.54374185,197.48889751,-2.00874864,0.18868338,39.00000000,0.17550112
Cand11,9.07890459,-0.16463234,2.52891299,2.15458604,1.22358972,3.24637944,-82.80853031,91.69589744,41.39632949,171.13594022,36.65455295,239.75557923,-2.02821751,0.30948309,37.00000000,0.37591696
Cand12,9.56468634,-0.80626995,3.69949318,1.96208729,2.44831342,4.17086347,-33.27733204,94.41283077,60.91014055,175.45092868,26.82467485,197.48381213,-1.57287033,0.23790576,36.00000000,0.58589615
Cand13,9.13744962,1.00040602,3.11252166,2.47850036,1.99854076,4.14019279,-101.35227808,-9.29540180,98.42717845,246.43261375,30.35353464,238.10156886,-1.37031363,0.18028260,36.00000000,0.38607287
Cand14a,11.85591784,0.16322406,1.78587124,1.82458404,1.67390283,3.64042291,-167.98452601,166.65673335,-25.14159348,29.10607592,27.93226564,82.67349987,-1.44317521,0.23435781,24.00000000,0.95385088
Cand14b,10.66976835,0.32684153,1.37391522,1.79903586,2.05342546,3.51116871,181.03503103,178.23568455,27.80141350,19.54152654,23.10585838,93.98952990,-1.46115242,0.09564592,12.00000000,0.95385088
Cand15a,10.50166590,1.39104067,4.00730338,1.85595570,2.11030416,3.92216662,-289.17951358,185.46805761,-64.35420561,52.42855263,41.23314110,122.33764737,-1.52608633,0.10682630,12.00000000,0.67210477
Cand15b,10.34290648,-0.32853945,2.36450921,1.84490457,2.26901342,5.86127811,295.84932222,188.08788669,31.03679261,32.42703716,18.67789738,117.78732873,-1.43498271,0.06055892,7.00000000,0.67210477
Cand16a,8.67964318,0.48251193,3.85061321,1.59080927,1.45948902,3.89909052,295.81010116,106.13868765,119.42793065,35.45263977,15.15957418,149.26133510,-1.43387525,0.19857371,12.00000000,0.42585563
Cand16b,8.88266284,2.75493881,-1.33477992,1.34520896,2.06528011,3.19944930,-320.32958315,109.94577317,21.84949704,40.52823023,26.54126821,114.79154083,-1.41539540,0.08399168,5.00000000,0.42585563
